generation,frames,mean_ea_fitness,best_ea_fitness,mean_learner_fitness,best_learner_fitness,eval_return,buffer_size,learner_0_tree_fitness,learner_1_tree_fitness,learner_2_tree_fitness,learner_3_tree_fitness,learner_4_tree_fitness,learner_5_tree_fitness,learner_6_tree_fitness,learner_7_tree_fitness,learner_8_tree_fitness,learner_9_tree_fitness,learner_10_tree_fitness,learner_11_tree_fitness,learner_12_tree_fitness,learner_13_tree_fitness,learner_14_tree_fitness,learner_15_tree_fitness,learner_16_tree_fitness,learner_17_tree_fitness,learner_18_tree_fitness,learner_19_tree_fitness,learner_20_tree_fitness,learner_21_tree_fitness,learner_22_tree_fitness,learner_23_tree_fitness,learner_24_tree_fitness
121,48400000,-215.69,1351.71,696.19,3855.78,3437.31,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (3855.8)","gate(next_obs_8, cos(obs_15), tan(obs_7)) (3185.6)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3194.1)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_15, next_obs_8), is_negative(obs_5))) (3349.3)","gate(next_obs_8, cos(obs_16), sin(multiply(next_obs_16, next_obs_15))) (3037.5)","tan(equal_to(action_2, equal_to(obs_9, obs_11))) (1505.3)","gate(next_obs_8, cos(cos(next_obs_16)), tan(div_by_10(obs_12))) (1784.1)","gate(next_obs_8, cos(cos(obs_0)), div_by_100(action_5)) (810.5)","gate(next_obs_8, cos(obs_16), pass_greater(cos(next_obs_5), next_obs_0)) (918.8)","gate(tan(pass_smaller(obs_16, next_obs_7)), next_obs_8, next_obs_0) (-29.9)","gate(obs_16, cos(obs_16), gate(next_obs_15, add(-0.827, next_obs_15), is_negative(obs_11))) (-90.2)","gate(next_obs_8, add(tan(obs_0), sin(obs_9)), gate(next_obs_15, action_5, div_by_100(next_obs_7))) (-436.4)","gate(square(obs_10), cos(obs_7), next_obs_0) (198.0)","gate(is_negative(gate(obs_12, obs_2, next_obs_3)), cos(obs_16), next_obs_0) (653.3)","gate(is_negative(equal_to(0.709, obs_3)), next_obs_15, gate(next_obs_15, add(obs_11, action_5), is_negative(next_obs_1))) (-767.3)","gate(next_obs_8, cos(gate(next_obs_2, next_obs_14, obs_6)), tan(next_obs_0)) (-45.1)","gate(sin(square(obs_7)), cos(obs_16), gate(next_obs_15, add(obs_12, next_obs_12), is_negative(0.536))) (-333.0)","gate(next_obs_8, cos(obs_16), add(div_by_10(next_obs_3), cos(action_2))) (-325.8)","gate(next_obs_8, cos(action_5), gate(next_obs_15, div_by_10(next_obs_4), div_by_100(obs_15))) (-792.1)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_7, obs_6), is_negative(next_obs_8))) (-220.2)","gate(tan(min(next_obs_2, obs_4)), max(div_by_10(next_obs_2), pass_greater(next_obs_3, next_obs_9)), protected_div(pass_smaller(obs_11, next_obs_3), obs_7)) (-313.1)","multiply(action_1, max(multiply(next_obs_0, obs_4), obs_5)) (-284.1)","min(obs_5, cos(multiply(next_obs_3, next_obs_13))) (-413.6)",is_negative(action_3) (-490.8),"protected_div(pass_smaller(subtract(obs_11, obs_4), next_obs_3), min(next_obs_13, gate(obs_1, next_obs_14, obs_2))) (-546.0)"
122,48800000,-386.35,1352.66,582.72,3733.69,3437.31,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (3733.7)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_15, next_obs_8), is_negative(obs_5))) (3398.8)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3242.2)","gate(next_obs_8, cos(obs_15), tan(obs_7)) (2956.1)","gate(next_obs_8, protected_div(obs_4, square(obs_5)), tan(obs_7)) (-414.5)","gate(next_obs_8, pass_smaller(pass_smaller(action_2, next_obs_11), square(obs_5)), gate(next_obs_15, next_obs_8, div_by_100(obs_2))) (-59.9)","equal_to(div_by_100(sin(next_obs_5)), obs_16) (-306.9)","gate(next_obs_8, div_by_10(obs_3), gate(next_obs_15, next_obs_8, div_by_100(obs_16))) (168.0)","gate(pass_greater(div_by_100(next_obs_8), gate(obs_0, action_1, obs_15)), cos(next_obs_15), tan(obs_7)) (175.9)","gate(next_obs_8, next_obs_0, div_by_10(gate(obs_14, next_obs_15, obs_13))) (1197.0)","gate(next_obs_8, subtract(cos(next_obs_0), pass_greater(action_0, obs_2)), next_obs_0) (410.8)","gate(next_obs_8, cos(next_obs_15), gate(next_obs_15, add(next_obs_13, obs_1), is_negative(obs_4))) (2778.8)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, obs_15, div_by_100(obs_2))) (-309.8)","gate(next_obs_8, cos(obs_16), gate(next_obs_3, next_obs_8, div_by_100(action_1))) (962.4)","sin(add(pass_smaller(obs_12, next_obs_6), equal_to(next_obs_0, obs_13))) (-258.7)","gate(next_obs_8, obs_16, gate(next_obs_15, add(next_obs_14, next_obs_6), is_negative(action_2))) (-440.7)","gate(next_obs_8, cos(action_5), gate(next_obs_15, add(obs_6, -0.922), min(obs_11, obs_1))) (-98.4)","gate(multiply(multiply(action_3, obs_4), is_negative(obs_7)), next_obs_8, tan(obs_7)) (-260.6)","gate(next_obs_8, pass_greater(pass_greater(obs_10, next_obs_13), subtract(obs_11, next_obs_14)), next_obs_0) (78.1)","gate(next_obs_8, cos(min(next_obs_9, next_obs_12)), next_obs_0) (-329.5)",div_by_100(div_by_100(next_obs_11)) (-343.7),div_by_100(action_2) (-552.4),"gate(is_negative(obs_12), cos(sin(0.813)), obs_3) (-515.5)","square(equal_to(action_0, gate(next_obs_14, obs_6, next_obs_10))) (-421.3)","cos(square(min(action_2, obs_5))) (-221.9)"
123,49200000,-373.69,1370.39,421.32,4300.98,3437.31,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (4301.0)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_15, next_obs_8), is_negative(obs_5))) (2754.4)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3411.0)","gate(next_obs_8, cos(obs_15), tan(obs_7)) (226.9)","gate(gate(max(next_obs_5, obs_5), div_by_100(obs_13), protected_div(next_obs_14, next_obs_9)), cos(obs_15), next_obs_0) (-262.2)","square(max(sin(action_5), add(next_obs_10, next_obs_5))) (106.6)","gate(next_obs_8, square(tan(obs_6)), next_obs_0) (205.8)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(next_obs_13, next_obs_3), div_by_10(obs_3))) (-331.8)","gate(next_obs_8, div_by_10(next_obs_0), gate(next_obs_15, add(next_obs_1, action_2), is_negative(next_obs_6))) (1582.8)","gate(next_obs_0, cos(obs_16), gate(next_obs_15, add(next_obs_13, next_obs_11), sin(obs_9))) (134.9)","div_by_100(multiply(add(action_5, next_obs_2), next_obs_13)) (880.3)","gate(next_obs_8, cos(min(next_obs_2, obs_16)), cos(obs_15)) (273.8)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_4, -0.457), tan(obs_11))) (-37.8)","gate(next_obs_8, min(equal_to(obs_2, next_obs_5), action_0), gate(next_obs_15, next_obs_8, next_obs_8)) (229.2)","gate(next_obs_8, cos(obs_15), pass_greater(div_by_100(obs_16), gate(next_obs_3, next_obs_8, obs_12))) (240.5)","gate(pass_greater(subtract(next_obs_15, -0.914), div_by_10(next_obs_8)), cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(next_obs_4))) (-271.2)","gate(next_obs_8, cos(next_obs_15), tan(div_by_10(obs_5))) (-205.1)","gate(next_obs_8, cos(obs_16), gate(obs_12, next_obs_8, cos(next_obs_16))) (232.2)","gate(next_obs_8, cos(obs_16), tan(cos(next_obs_6))) (-394.3)","gate(next_obs_8, div_by_10(multiply(action_5, action_2)), gate(next_obs_15, next_obs_8, next_obs_8)) (-548.4)","multiply(tan(action_3), obs_2) (-184.0)",sin(obs_15) (-553.5),"max(protected_div(is_negative(obs_2), square(-0.382)), pass_greater(next_obs_4, pass_smaller(next_obs_15, next_obs_16))) (-449.7)","pass_smaller(equal_to(obs_5, obs_15), tan(gate(next_obs_3, action_2, obs_10))) (-512.0)","gate(pass_greater(square(next_obs_10), pass_smaller(obs_16, next_obs_14)), multiply(obs_1, action_0), add(obs_13, is_negative(next_obs_8))) (-296.3)"
124,49600000,-427.79,1365.54,761.15,3540.00,3437.31,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (3540.0)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3492.7)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_15, next_obs_8), is_negative(obs_5))) (3159.5)","gate(next_obs_8, div_by_10(next_obs_0), gate(next_obs_15, add(next_obs_1, action_2), is_negative(next_obs_6))) (2435.5)","gate(multiply(add(next_obs_1, obs_16), next_obs_13), cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(next_obs_6))) (-1811.4)","gate(add(0.522, div_by_10(obs_4)), cos(obs_16), gate(next_obs_15, cos(obs_15), is_negative(-0.141))) (835.0)",cos(div_by_10(tan(obs_5))) (207.8),"gate(next_obs_8, tan(sin(obs_10)), gate(next_obs_15, next_obs_15, is_negative(action_5))) (147.4)","gate(div_by_100(next_obs_5), cos(obs_16), gate(next_obs_15, add(next_obs_7, next_obs_14), is_negative(obs_13))) (-501.5)",div_by_100(square(next_obs_16)) (2633.4),"gate(next_obs_8, cos(sin(-0.723)), gate(next_obs_15, obs_2, div_by_100(next_obs_2))) (2676.2)","gate(next_obs_8, cos(cos(obs_13)), add(div_by_100(action_1), tan(obs_14))) (2118.1)","is_negative(pass_smaller(pass_smaller(obs_4, obs_16), min(next_obs_9, obs_16))) (1431.3)","sin(multiply(pass_greater(obs_1, next_obs_0), max(next_obs_0, obs_13))) (1162.6)","gate(obs_5, cos(obs_15), equal_to(subtract(next_obs_16, next_obs_2), square(obs_9))) (742.4)","gate(next_obs_8, div_by_10(next_obs_0), gate(div_by_100(obs_9), add(action_3, obs_11), is_negative(next_obs_14))) (23.8)","gate(next_obs_8, min(div_by_100(obs_11), pass_greater(obs_12, next_obs_15)), next_obs_0) (-193.6)","gate(next_obs_8, add(equal_to(action_3, obs_15), next_obs_1), gate(next_obs_15, add(next_obs_16, next_obs_7), is_negative(obs_13))) (-400.2)","gate(next_obs_8, -0.457, gate(next_obs_15, tan(obs_12), div_by_100(-0.405))) (-179.8)","gate(next_obs_8, div_by_10(sin(next_obs_5)), next_obs_8) (-203.7)","cos(square(multiply(next_obs_5, 0.761))) (-374.0)",div_by_10(obs_1) (-709.3),"equal_to(gate(gate(obs_6, next_obs_0, next_obs_2), min(action_2, next_obs_16), pass_smaller(next_obs_9, action_0)), max(div_by_100(next_obs_3), next_obs_8)) (-450.2)","multiply(next_obs_5, tan(max(obs_2, next_obs_14))) (-318.1)","cos(max(square(action_4), max(obs_5, next_obs_6))) (-435.0)"
125,50000000,-247.91,1361.43,690.44,3888.24,2593.13,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (3753.4)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3513.9)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_15, next_obs_8), is_negative(obs_5))) (3133.0)","gate(next_obs_8, cos(sin(-0.723)), gate(next_obs_15, obs_2, div_by_100(next_obs_2))) (3888.2)","gate(next_obs_8, cos(obs_16), gate(pass_smaller(obs_1, next_obs_11), next_obs_8, div_by_100(action_0))) (2798.8)","gate(next_obs_8, cos(obs_16), subtract(obs_10, div_by_10(action_1))) (2697.9)","gate(next_obs_8, cos(sin(obs_12)), pass_greater(pass_smaller(obs_0, next_obs_9), subtract(obs_13, next_obs_0))) (-221.3)","gate(next_obs_8, square(next_obs_16), gate(next_obs_15, obs_2, div_by_100(obs_15))) (-453.1)","gate(next_obs_8, cos(is_negative(next_obs_4)), gate(next_obs_15, add(obs_14, next_obs_4), is_negative(obs_1))) (21.9)","gate(obs_4, cos(gate(next_obs_4, obs_8, obs_10)), gate(next_obs_15, obs_2, div_by_100(obs_11))) (33.1)","gate(next_obs_8, cos(obs_16), add(pass_smaller(obs_6, next_obs_3), pass_smaller(next_obs_9, obs_15))) (244.5)","gate(next_obs_8, cos(sin(next_obs_13)), gate(next_obs_15, min(action_0, next_obs_3), div_by_100(obs_7))) (681.2)","gate(next_obs_8, cos(obs_16), gate(equal_to(next_obs_8, next_obs_9), add(next_obs_8, obs_14), is_negative(obs_15))) (-45.9)","gate(square(protected_div(obs_16, action_2)), cos(obs_15), next_obs_0) (-521.4)","gate(obs_15, cos(obs_16), gate(protected_div(obs_12, next_obs_15), add(obs_15, obs_16), is_negative(next_obs_6))) (-404.0)","gate(next_obs_8, cos(obs_16), sin(sin(obs_9))) (2879.9)","gate(next_obs_8, cos(subtract(action_2, action_1)), next_obs_0) (13.3)","gate(next_obs_8, cos(obs_16), square(square(obs_9))) (-49.3)","gate(next_obs_8, cos(pass_smaller(obs_0, next_obs_12)), next_obs_0) (-195.5)","min(div_by_10(multiply(obs_4, action_2)), max(div_by_100(obs_4), add(action_3, action_3))) (-282.5)","cos(sin(max(obs_7, next_obs_13))) (-511.0)",cos(obs_5) (-496.0),cos(next_obs_11) (-413.2),cos(next_obs_5) (-1142.6),"multiply(pass_greater(sin(next_obs_15), pass_smaller(next_obs_12, obs_1)), subtract(tan(next_obs_11), equal_to(obs_5, action_1))) (-1662.5)"
126,50400000,-294.44,1371.79,727.23,3851.91,2593.13,1000000,"gate(next_obs_8, cos(sin(-0.723)), gate(next_obs_15, obs_2, div_by_100(next_obs_2))) (3358.8)","gate(next_obs_8, cos(obs_15), next_obs_0) (3851.9)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3429.9)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(obs_15, next_obs_8), is_negative(obs_5))) (3148.5)","gate(subtract(next_obs_8, pass_smaller(next_obs_8, obs_7)), cos(obs_16), div_by_100(obs_11)) (3342.9)","gate(next_obs_8, cos(obs_16), gate(sin(next_obs_8), add(obs_7, obs_9), is_negative(obs_2))) (1768.7)","gate(next_obs_8, cos(obs_16), gate(is_negative(action_1), next_obs_3, div_by_100(obs_7))) (64.5)","cos(pass_greater(obs_14, pass_greater(action_0, next_obs_11))) (394.1)","multiply(obs_12, div_by_100(pass_smaller(next_obs_5, action_4))) (2888.2)","multiply(next_obs_11, next_obs_1) (-358.6)","div_by_10(multiply(multiply(obs_12, next_obs_9), obs_8)) (266.9)","gate(is_negative(multiply(obs_12, obs_15)), cos(obs_16), next_obs_12) (936.7)","gate(next_obs_8, subtract(next_obs_9, next_obs_1), cos(obs_16)) (-9.1)","gate(multiply(action_5, min(next_obs_14, next_obs_15)), is_negative(obs_5), gate(next_obs_15, next_obs_8, div_by_100(action_3))) (956.9)","subtract(gate(add(next_obs_2, next_obs_0), obs_9, div_by_10(obs_7)), div_by_100(subtract(obs_0, next_obs_15))) (-671.7)","gate(next_obs_8, cos(obs_16), gate(equal_to(obs_8, next_obs_15), next_obs_8, div_by_100(-0.620))) (191.6)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(obs_5))) (-224.4)","gate(next_obs_8, subtract(square(next_obs_10), pass_greater(action_0, action_5)), next_obs_0) (-486.5)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, add(next_obs_2, obs_4), is_negative(obs_3))) (-411.9)","gate(subtract(max(next_obs_6, next_obs_0), min(next_obs_9, action_2)), cos(cos(obs_1)), next_obs_0) (-1160.3)","tan(gate(sin(obs_5), add(obs_16, obs_8), cos(next_obs_13))) (-538.4)","pass_smaller(gate(div_by_100(next_obs_4), square(obs_14), next_obs_16), cos(obs_14)) (-427.4)","pass_smaller(subtract(multiply(obs_3, obs_13), div_by_10(obs_0)), obs_15) (-392.5)","pass_smaller(min(obs_1, div_by_100(next_obs_2)), tan(subtract(next_obs_15, next_obs_16))) (-348.9)","pass_smaller(next_obs_8, protected_div(obs_6, sin(next_obs_0))) (-1389.1)"
127,50800000,-281.49,1362.32,807.63,3712.23,2593.13,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (3712.2)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3549.8)","gate(next_obs_8, cos(sin(-0.723)), gate(next_obs_15, obs_2, div_by_100(next_obs_2))) (1896.1)","gate(subtract(next_obs_8, pass_smaller(next_obs_8, obs_7)), cos(obs_16), div_by_100(obs_11)) (628.9)","subtract(next_obs_3, div_by_10(sin(obs_5))) (3133.0)","gate(div_by_10(protected_div(next_obs_16, obs_16)), cos(obs_15), next_obs_0) (2400.1)","gate(pass_smaller(next_obs_8, obs_7), cos(obs_15), is_negative(max(obs_14, next_obs_0))) (1226.6)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, pass_smaller(next_obs_5, obs_12), div_by_100(obs_14))) (135.0)","tan(gate(square(obs_13), cos(obs_7), next_obs_14)) (1595.4)","subtract(add(obs_5, next_obs_2), next_obs_5) (1604.0)","gate(subtract(next_obs_8, is_negative(next_obs_4)), cos(obs_16), div_by_100(obs_11)) (789.8)","gate(obs_14, gate(max(next_obs_1, obs_9), next_obs_12, sin(action_0)), add(min(next_obs_2, next_obs_10), equal_to(next_obs_16, next_obs_9))) (-381.2)","gate(subtract(next_obs_8, pass_greater(next_obs_13, next_obs_1)), cos(obs_16), div_by_100(obs_11)) (1065.6)","gate(next_obs_8, cos(sin(obs_6)), pass_greater(action_1, pass_greater(next_obs_15, next_obs_5))) (-257.7)","gate(next_obs_8, equal_to(gate(obs_6, obs_14, obs_13), multiply(next_obs_5, obs_16)), next_obs_0) (-285.9)","gate(next_obs_8, sin(square(obs_16)), gate(next_obs_15, next_obs_8, div_by_100(obs_7))) (544.4)","div_by_100(min(obs_12, is_negative(next_obs_6))) (-166.8)","gate(add(pass_greater(next_obs_14, next_obs_10), tan(obs_12)), obs_7, gate(next_obs_15, obs_2, div_by_100(obs_14))) (853.2)","gate(subtract(next_obs_8, pass_smaller(action_4, next_obs_4)), cos(obs_16), div_by_100(obs_11)) (-193.6)","gate(next_obs_8, cos(next_obs_2), gate(next_obs_15, pass_smaller(next_obs_5, next_obs_3), div_by_100(next_obs_14))) (179.1)",cos(cos(square(next_obs_8))) (-496.8),div_by_10(obs_9) (-562.2),"max(gate(obs_2, next_obs_15, protected_div(obs_0, action_5)), action_3) (-328.3)","pass_smaller(action_5, square(action_4)) (31.9)","pass_smaller(sin(pass_greater(obs_6, next_obs_3)), next_obs_9) (-482.0)"
128,51200000,-482.11,1351.06,735.11,3975.86,2593.13,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (3975.9)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3750.2)","subtract(next_obs_3, div_by_10(sin(obs_5))) (3201.1)","gate(div_by_10(protected_div(next_obs_16, obs_16)), cos(obs_15), next_obs_0) (1561.8)","div_by_100(add(action_1, obs_12)) (-111.1)","gate(cos(obs_16), sin(min(action_3, next_obs_15)), next_obs_0) (-286.8)","gate(tan(multiply(obs_1, obs_9)), cos(obs_15), next_obs_0) (-117.5)",is_negative(div_by_10(tan(next_obs_10))) (3583.2),"cos(gate(action_2, next_obs_16, action_5)) (391.1)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, square(next_obs_11))) (130.4)",sin(obs_9) (1129.2),"gate(next_obs_8, cos(obs_16), gate(next_obs_15, sin(next_obs_15), next_obs_15)) (2482.1)",div_by_10(obs_7) (-187.1),"gate(next_obs_8, cos(square(next_obs_10)), next_obs_0) (-82.1)","gate(next_obs_8, cos(sin(next_obs_4)), gate(next_obs_15, next_obs_8, div_by_100(next_obs_8))) (493.7)","gate(protected_div(next_obs_16, obs_16), cos(protected_div(next_obs_4, next_obs_3)), gate(next_obs_15, next_obs_8, div_by_100(obs_6))) (-9.1)","subtract(is_negative(sin(obs_11)), div_by_10(sin(next_obs_9))) (-419.3)","gate(div_by_10(subtract(next_obs_15, next_obs_15)), cos(obs_15), next_obs_0) (-31.1)","is_negative(max(min(next_obs_2, action_3), obs_16)) (-176.7)","gate(next_obs_8, is_negative(subtract(next_obs_3, action_0)), next_obs_0) (-323.6)","add(obs_6, next_obs_12) (-265.2)","div_by_10(subtract(div_by_10(next_obs_4), next_obs_15)) (366.2)",sin(obs_16) (203.9),"pass_greater(div_by_100(subtract(obs_14, action_2)), div_by_100(div_by_10(obs_12))) (-421.2)","equal_to(add(protected_div(obs_5, obs_16), pass_smaller(obs_10, next_obs_9)), cos(max(obs_0, obs_16))) (-460.3)"
129,51600000,-324.40,1349.84,756.14,4052.39,2593.13,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (4052.4)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3557.6)",is_negative(div_by_10(tan(next_obs_10))) (2957.3),"subtract(next_obs_3, div_by_10(sin(obs_5))) (3326.2)","subtract(next_obs_3, div_by_10(sin(obs_3))) (2957.9)","subtract(sin(next_obs_8), sin(square(action_1))) (1556.4)","subtract(obs_9, multiply(obs_8, gate(next_obs_11, action_5, next_obs_8))) (345.2)",is_negative(div_by_10(sin(next_obs_16))) (346.3),"is_negative(div_by_10(protected_div(obs_6, action_2))) (1364.0)","gate(next_obs_8, max(min(obs_14, obs_13), obs_16), div_by_100(subtract(obs_12, next_obs_7))) (1482.5)","gate(next_obs_8, cos(obs_16), gate(equal_to(obs_8, next_obs_5), next_obs_8, div_by_100(next_obs_16))) (-170.7)",cos(is_negative(next_obs_0)) (60.6),"gate(next_obs_8, div_by_10(protected_div(next_obs_2, next_obs_9)), gate(next_obs_15, next_obs_8, div_by_100(obs_4))) (-808.1)",div_by_10(next_obs_13) (12.3),"subtract(next_obs_3, subtract(div_by_10(next_obs_11), next_obs_15)) (-168.4)","gate(pass_greater(cos(obs_13), max(next_obs_2, obs_12)), cos(protected_div(next_obs_8, obs_4)), next_obs_0) (637.6)","gate(obs_16, cos(obs_15), add(obs_5, gate(next_obs_15, obs_12, next_obs_7))) (-419.4)","gate(next_obs_10, cos(obs_16), gate(is_negative(next_obs_7), action_3, add(obs_7, next_obs_15))) (-354.2)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(obs_1))) (-408.2)","gate(next_obs_8, cos(next_obs_0), pass_smaller(is_negative(obs_15), div_by_10(next_obs_14))) (-350.9)","pass_greater(action_3, pass_greater(multiply(obs_15, obs_14), obs_0)) (-362.2)",square(next_obs_8) (-385.7),"cos(tan(min(next_obs_11, obs_16))) (290.7)",tan(next_obs_6) (-62.3),"is_negative(gate(obs_5, is_negative(action_3), next_obs_0)) (-553.1)"
130,52000000,-339.24,1356.77,799.29,3488.70,4034.91,1000000,"gate(next_obs_8, cos(obs_15), next_obs_0) (3486.1)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3388.1)","subtract(next_obs_3, div_by_10(sin(obs_5))) (3309.1)","subtract(next_obs_3, div_by_10(sin(obs_3))) (3488.7)","subtract(next_obs_3, div_by_10(div_by_10(action_3))) (2071.8)","gate(next_obs_8, cos(min(next_obs_1, obs_14)), cos(obs_15)) (2354.3)","gate(tan(next_obs_10), cos(obs_16), is_negative(action_1)) (-345.2)","subtract(next_obs_3, add(square(next_obs_15), action_1)) (-305.3)","gate(next_obs_8, cos(obs_16), gate(gate(next_obs_7, next_obs_8, obs_2), next_obs_8, div_by_100(obs_10))) (143.8)","gate(next_obs_8, is_negative(obs_15), gate(next_obs_15, next_obs_8, div_by_100(obs_7))) (616.2)","gate(sin(obs_14), cos(obs_16), gate(next_obs_15, next_obs_8, div_by_10(obs_14))) (1497.2)","subtract(cos(cos(next_obs_1)), div_by_10(obs_14)) (75.1)","subtract(next_obs_3, div_by_10(is_negative(obs_4))) (-93.4)","subtract(next_obs_3, div_by_100(is_negative(obs_10))) (-327.3)","gate(add(add(action_5, next_obs_10), action_3), cos(next_obs_14), next_obs_0) (-299.3)",div_by_10(next_obs_6) (322.5),"subtract(next_obs_3, div_by_100(cos(next_obs_6))) (2609.9)","subtract(next_obs_3, div_by_10(sin(obs_8))) (-381.2)","subtract(next_obs_3, div_by_10(sin(next_obs_6))) (-439.3)","div_by_10(equal_to(action_3, div_by_100(obs_7))) (-510.9)","multiply(sin(pass_smaller(next_obs_1, next_obs_0)), obs_3) (-265.8)","min(action_3, next_obs_7) (-410.4)","pass_greater(is_negative(is_negative(next_obs_13)), next_obs_12) (920.8)","gate(equal_to(obs_11, pass_smaller(next_obs_14, obs_12)), next_obs_9, pass_greater(is_negative(action_3), multiply(obs_8, obs_2))) (-250.8)","subtract(div_by_100(next_obs_12), next_obs_6) (-672.3)"
131,52400000,-428.54,1370.09,728.79,3927.51,4034.91,1000000,"subtract(next_obs_3, div_by_10(sin(obs_3))) (3884.1)","gate(next_obs_8, cos(obs_15), next_obs_0) (3927.5)","gate(next_obs_8, cos(obs_16), gate(next_obs_15, next_obs_8, div_by_100(action_5))) (3721.6)","subtract(next_obs_3, div_by_10(sin(obs_5))) (3327.0)","gate(next_obs_8, add(div_by_100(next_obs_7), cos(next_obs_10)), next_obs_0) (1725.9)","pass_greater(equal_to(pass_greater(obs_8, obs_6), action_3), square(obs_12)) (-322.3)","subtract(next_obs_3, div_by_10(div_by_10(next_obs_16))) (891.3)","subtract(cos(gate(next_obs_6, action_3, obs_3)), div_by_10(sin(next_obs_5))) (2969.9)","subtract(obs_15, div_by_10(sin(obs_11))) (-285.7)","subtract(gate(subtract(next_obs_10, obs_5), obs_11, protected_div(next_obs_5, action_2)), div_by_10(next_obs_3)) (-364.6)","gate(next_obs_8, next_obs_8, square(protected_div(action_3, obs_7))) (239.3)","subtract(cos(obs_15), pass_greater(next_obs_7, tan(obs_3))) (-126.3)","subtract(action_5, div_by_10(sin(action_2))) (339.4)","div_by_10(div_by_10(pass_greater(obs_16, next_obs_10))) (-137.0)","subtract(obs_2, div_by_10(min(obs_3, obs_9))) (8.2)","subtract(div_by_10(div_by_10(obs_13)), div_by_10(sin(obs_11))) (715.8)","equal_to(protected_div(sin(next_obs_13), multiply(obs_14, obs_5)), obs_3) (67.8)","gate(next_obs_8, cos(obs_15), div_by_100(multiply(next_obs_8, next_obs_15))) (-375.6)","subtract(next_obs_0, div_by_10(is_negative(next_obs_12))) (-159.2)","subtract(next_obs_3, equal_to(multiply(0.297, obs_16), next_obs_12)) (-205.6)","sin(max(tan(obs_16), obs_10)) (-286.5)","equal_to(obs_16, next_obs_6) (-346.1)","gate(sin(add(next_obs_16, next_obs_16)), max(add(next_obs_16, next_obs_11), next_obs_3), next_obs_4) (-483.6)",is_negative(next_obs_8) (-57.7),"add(div_by_100(sin(obs_16)), div_by_10(sin(obs_15))) (-448.2)"
